run,condition,preamble_symbols,sensor_nodes,beacons_received,beacons_expected,tx_success,tx_attempts,init_rx,expected,per_percent,fwto,sfdto,phe,fce,fsl,goodput_bps,offered_bps,elapsed_us,period_avg_us,uwb_offset_us,schedule_status
4,drying_rack_present,32,1,1000,1000,1000,1000,755,1000,24.5,5,219,21,0,0,9664,12800,9999998,9999.997,3000,PASS
5,drying_rack_removed,32,1,1000,1000,1000,1000,992,1000,0.8,1,1,6,0,0,12697,12800,9999998,9999.997,3000,PASS
