experiment,run,role,node,source_log,sync_buffer_us,sync_prep_us,guard_us,pac,phase,count,min_us,max_us,avg_us,first_slot_prep_max_us,phase_max_share_percent,result
wait_budget_baseline_fix,r2,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n2.log,3000,2500,200,8,sensor_data_phy_config,1000,991,991,991.0,2040,48.578,PASS
wait_budget_baseline_fix,r2,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n2.log,3000,2500,200,8,sensor_tx_buffer_write,1000,73,73,73.0,2040,3.578,PASS
wait_budget_baseline_fix,r2,sensor,N2,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n2.log,3000,2500,200,8,sensor_delayed_tx_arm_call,1000,174,174,174.0,2040,8.529,PASS
wait_budget_baseline_fix,r2,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n3.log,3000,2500,200,8,sync_event_detect_to_frame_read,1000,126,126,126.0,2111,5.969,PASS
wait_budget_baseline_fix,r2,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n3.log,3000,2500,200,8,sync_event_detect_to_beacon_ready,1000,153,685,153.532,2111,32.449,PASS
wait_budget_baseline_fix,r2,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n3.log,3000,2500,200,8,sensor_data_phy_config,1000,991,991,991.0,2111,46.945,PASS
wait_budget_baseline_fix,r2,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n3.log,3000,2500,200,8,sensor_tx_buffer_write,1000,73,73,73.0,2111,3.458,PASS
wait_budget_baseline_fix,r2,sensor,N3,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n3.log,3000,2500,200,8,sensor_delayed_tx_arm_call,1000,174,174,174.0,2111,8.243,PASS
wait_budget_baseline_fix,r2,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n4.log,3000,2500,200,8,sync_event_detect_to_frame_read,999,126,126,126.0,2081,6.055,PASS
wait_budget_baseline_fix,r2,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n4.log,3000,2500,200,8,sync_event_detect_to_beacon_ready,999,153,685,153.532,2081,32.917,PASS
wait_budget_baseline_fix,r2,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n4.log,3000,2500,200,8,sensor_data_phy_config,999,991,991,991.0,2081,47.621,PASS
wait_budget_baseline_fix,r2,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n4.log,3000,2500,200,8,sensor_tx_buffer_write,999,73,73,73.0,2081,3.508,PASS
wait_budget_baseline_fix,r2,sensor,N4,/Users/songchieon/Desktop/DWM3000/logs/exp4_wait_budget_baseline_fix_0m_g200_l15_pac8_sb3000_sp2500_20260901_spiopt/exp4_32_s3_r2_n4.log,3000,2500,200,8,sensor_delayed_tx_arm_call,999,174,174,174.0,2081,8.361,PASS
